idcategory,categdesc
050915,Aubergines; cucumbers; gherkins; sweet peppers; paprikas.
050917,Tomatoes
050919,Beans; peas; lentils
050921,Other vegetables; truffles; artichokes; avocados
050922,Open vegetables; slices or quarters of vegetables
050923,One vegetable
050924,Groups of vegetables of different kinds
050925,Baskets of vegetables
050926,Vegetables in jars
0511,OTHER PLANTS
051101,Algae; seaweeds and other plants; aromic plants (basilicum; parsley; mint; dill.
051102,Roots; radicles; ginsengs
051103,Mosses; lichens
051105,Mushrooms
051109,Potato seedlings
051110,Other seedlings or germinated seeds
051111,Grasses
051112,Wheat; rice
051113,Bamboo; reeds; sugar canes; maize canes; vanilla pods; cinnamon canes; baboo sho
051114,Cotton plants; cotton balls
051115,Cones; fir cones; hop cones
051117,Agaves; aloes
051118,Prickly pears
051119,Cactus
051123,Plants in pots; in ornamental stands; in window-boxes or in tubs
0513,DECORATIONS MADE OF PLANTS
051301,Crowns of leaves; of flowers; of fruits or of vegetables
051303,Crossed palms
051304,Crossed branches; Ceasar's crown
051306,Decorations of vine branches
051307,Garlands; bands; borders or frames made of plants (except 5.13.6)
051308,Garlands; bands; borders or frames made of leaves
051309,Garlands; bands; borders or frames made of flowers
051310,Garlands; bands; borders or frames made of fruits
051311,Garlands; bands; borders or frames made of other plants
051315,Christmas trees; branches of Christmas trees
051325,Other decorations made of plants
06,LANDSCAPES
0601,MOUNTAINS; ROCKS; GROTTOES
060101,Crags; rocks; walls of rocks
060102,Mountains; mountain landscapes
060103,Volcanoes
060104,Mountains or volcanoes stylized
060107,Grottoes
0603,LANDSCAPES WITH WATER; RIVER OR STREAM
060301,Lacustrine or maritime scenes
060302,Beaches; coasts; bays
060303,Islands; reefs
060304,Open sea; stretches of water without shores
060305,Lakes or seas with mountains around or in the background
060306,Harbors
060310,Other lacustrine or maritime scenes
060311,Landscapes with running water
060312,Springs; landscapes with spring(s)
060313,Waterfalls; landscapes with waterfall(s)
060314,Rivers; streams; rapids; torrents; with or without landscape
060320,Other landscapes with running water
0606,DESERT OR TROPICAL-TYPE LANDSCAPES
060601,Desert landscapes or landscapes with very sparse vegetation
060602,Oases
060603,Other landscapes with palm trees
060625,Other tropical-type landscapes
0607,URBAN LANDSCAPES OR VILLAGE SCENES
060701,Streets
060702,Squares
060704,Built-up areas
060705,Built-up areas composed of skyscrapers
060706,Built-up areas composed of flat-roofed houses
060707,Built-up areas composed of huts
060708,Built-up areas composed of rural constructions
060711,Urban landscapes or village scenes with water; river or stream
060725,Other urban landscapes or village scenes
0619,OTHER LANDSCAPES
061901,Other landscapes
061905,Forest; undergrowth
061907,Vineyards
061909,Other cultivated areas
061910,Landscapes with haystack(s)
061911,Grasslands; pastures
061913,Pasturelands with mountains around or in the background
061915,Landscapes with windmill(s)
061916,Landscapes with house(s)
061917,Landscapes with factory(ies) or other industrial construction(s)
061919,Polar landscapes
061920,Cemeteries
061921,Golf courses; golf holes; putting greens
07,CONSTRUCTIONS; STRUCTURES FOR ADVERTISEMENTS; GATES OR BARRIERS
0701,DWELLINGS; BUILDINGS; ADVERTISEMENT HOARDINGS OR PILLARS; CAGES OR KENNELS FOR A
070101,Castles; fortresses; crenellated walls; palaces
070103,Churches; cathedrals; abbeys; monasteries
070104,Mosques; minarets
070105,Pagodas
070106,Towers or masts; derricks (except 7.1.16); transmitting masts
070108,Houses; skyscrapers
070109,Rural houses; farms; barns; house with garden
070110,Flat-roofed houses
070111,Chalets (small wooden house in a mountain area)
070112,Urban houses; skyscrapers
070113,Windmills or water mills
070114,Industrial establishments; factory chimneys
070115,Filling stations (gasoline)
070116,Lighthouses
070117,Kiosks; shelters; fair booths; market stalls
070118,Advertisement hoardings or pillars; other structures for advertisements; all kin
070119,Huts; cabins
070120,Tents; jurts
070121,Igloos
